id,price,neighbourhood_cleansed,property_type,room_type,bedrooms,bathrooms,accommodates,latitude,longitude,review_scores_rating,availability_365,reviews_per_month,minimum_nights,maximum_nights,price_range
2747383,225.0,Outer Sunset,Entire rental unit,Entire home/apt,2,1,4,37.7587,-122.50819,4.84,320,1.89,2,29,200-249
1018426,150.0,South of Market,Shared room in loft,Shared room,1,1,2,37.77543,-122.40575,4.82,365,0.89,30,1125,100-149
689758543870329399,75.0,Nob Hill,Private room in casa particular,Private room,1,1,2,37.7937084,-122.4191336,5.0,365,0.06,30,365,50-99
503362,350.0,Haight Ashbury,Entire rental unit,Entire home/apt,2,2,6,37.77265,-122.43857,4.93,365,0.81,365,1124,300-349
10477793,110.0,Parkside,Private room in guest suite,Private room,1,1,2,37.74572,-122.47477,4.89,80,1.26,2,28,100-149
22676805,62.0,Haight Ashbury,Entire rental unit,Entire home/apt,0,1,1,37.77076,-122.44548,4.81,125,0.24,30,1125,50-99
11241452,120.0,Nob Hill,Private room in rental unit,Private room,1,1,2,37.79013,-122.4208,4.75,301,0.09,30,9999,100-149
35685982,50.0,Nob Hill,Private room in home,Private room,1,5,2,37.79195,-122.42152,4.75,365,1.26,365,1125,0-49
784014823060729461,262.0,Downtown/Civic Center,Entire condo,Entire home/apt,2,1,6,37.7889904,-122.4127915,5.0,285,0.15,1,365,250-299
784012288487296264,233.0,Nob Hill,Entire condo,Entire home/apt,1,1,4,37.78967,-122.41358,4.75,365,1.26,1,365,200-249
22773184,78.0,Downtown/Civic Center,Entire rental unit,Entire home/apt,0,1,2,37.78605,-122.41613,4.75,177,1.26,30,180,50-99
784018769863252275,316.0,Downtown/Civic Center,Entire condo,Entire home/apt,3,2,6,37.7889904,-122.4127915,5.0,272,0.29,1,365,300-349
3906145,56.0,Western Addition,Private room in rental unit,Private room,1,1,1,37.77233,-122.43222,4.0,365,0.02,30,60,50-99
1008180503132194703,150.0,Western Addition,Room in hotel,Private room,1,1,2,37.78916851339146,-122.42241706469576,4.75,365,1.26,2,89,100-149
1102111569838772453,150.0,Western Addition,Room in hotel,Private room,1,1,2,37.78742,-122.42278,4.75,365,1.26,2,365,100-149
1031255437843003966,150.0,Nob Hill,Room in hotel,Private room,1,1,2,37.78927589724107,-122.42048703138695,4.75,355,1.26,2,89,100-149
756485655587319235,400.0,Castro/Upper Market,Entire condo,Entire home/apt,3,2,5,37.76274,-122.44492,5.0,137,1.46,30,90,350-399
831674968058209910,99.0,Nob Hill,Entire rental unit,Entire home/apt,1,1,2,37.79118,-122.4135,4.75,73,1.26,30,60,50-99
784011112719256320,233.0,Nob Hill,Entire condo,Entire home/apt,1,1,4,37.79017575007936,-122.41217020924172,4.75,362,1.26,1,365,200-249
1099122303660098262,150.0,Downtown/Civic Center,Room in hotel,Private room,1,1,2,37.7875,-122.42045,4.75,359,1.26,2,365,100-149
1016913580030139408,150.0,Downtown/Civic Center,Room in hotel,Private room,1,1,2,37.7884146,-122.4215935,4.75,280,1.26,2,360,100-149
1018015582790466970,150.0,Downtown/Civic Center,Room in hotel,Private room,1,1,2,37.7884146,-122.4215935,3.0,275,0.26,2,360,100-149
